,kinase,SK,HTB69,G361,SH4,A375,7951
0,MYO3A,-2.678583902643942,3.5426843373778554,0.8067604519416157,1.1389155939625084,0.9427909819507673,-1.2226849299036475
1,CDK5R1,2.828521973655832,1.6702730683459681,5.084478427500025,3.172556483226874,1.786591518555212,-0.7710374918500806
2,PRKACA,2.261121284059185,6.543459353610494,6.017414042492973,5.48033399762378,8.004513374765217,6.189267629460445
3,CDK1,18.374518842545076,18.862900937557754,18.84257383250084,20.866804772178252,15.04249872133817,18.178349358478187
4,PTPN1,-4.321858578499649,-1.2760366382722335,-1.8916968795201776,-3.2341217907036683,0.2245807853723903,-0.06122561113649086
5,CDK2,23.18970148525264,22.96991747596661,22.45810808872679,24.518379629699226,19.8070495815064,21.23867923441046
6,CDK5,10.841848650690581,8.839555909177676,11.12018410226019,11.222983265412074,7.767518653469006,8.084523014633287
7,PRKCA,4.901290067093681,6.634015281212407,7.656769227917955,4.453523644080801,7.316624262554735,8.447536574614386
8,MAPK1,11.96432449171069,11.138543254161176,13.91444170161565,14.057703349410296,11.019029298426606,11.669028245573479
9,ABL1,-2.740266186704735,-0.5413463576368376,-0.6035463167083781,-0.08748048076831225,0.6760806615795951,0.520983955454022
10,PPP3CB,3.135663705071336,4.52192388605762,1.1426691865497807,3.060574754823069,4.265200331604306,3.345082839045588
11,PPP3CC,3.135663705071336,4.52192388605762,1.1426691865497807,3.060574754823069,4.265200331604306,3.345082839045588
12,PPP3CA,3.135663705071336,4.52192388605762,1.1426691865497807,3.060574754823069,4.265200331604306,3.345082839045588
13,SGK1,6.274931274001681,5.801977936944434,7.416684762231576,7.040660215331464,8.014134314257241,4.747458411308101
14,PAK1,5.409326332086334,7.115246561915268,7.727516736712863,6.827445020428859,8.71643826782769,8.167648500493645
15,TTBK1,0.26160361011166705,0.8336907937777246,2.056357588263463,0.6316166307069332,0.24705316964761706,-1.521944834505055
16,PRKCB,2.1324691568909717,4.361112717676065,4.170068592166552,4.3093458233881075,5.150429273449963,5.41904290363725
17,PPP3R1,3.6218068826993486,5.042410694148931,1.683033840089058,3.549996631540954,4.5242217212007105,3.7955998181211044
18,RPS6KB2,0.15867064842791823,2.6991448458219374,3.5538047909455344,2.4448168416821496,2.543655463115166,2.5331657847874216
19,CDK4,8.816744552475486,8.05056343795487,7.301754600941685,9.655080891784213,6.609695509418194,7.710483166820926
20,TTK,2.1899439150623285,0.3743896591625877,2.0612461390478756,2.3045262536050486,0.1707356602556051,0.12477034464466112
21,FGR,-2.358817189610395,0.17842044284832784,-0.7770597301489547,-0.6605074914486672,0.46652341557009364,0.42214877763719244
22,AURKB,0.8045028225642958,2.9715878027840428,2.58889408479406,2.8551960646368757,3.7541302731401123,3.646789449211791
23,DUSP4,-0.6612738433086472,1.192658835889626,1.392985508838981,2.108326261065229,1.8466979223874602,0.13322666022207816
24,EGFR,-2.6505894182407617,-1.647325211569551,-1.5454606315369335,-0.7928853914573541,0.4897680097875676,-0.8674091061471039
25,LIMK2,2.168120192972511,4.656246286011039,4.688197583163194,3.377565170966485,4.7479314349998525,3.6182184309047485
26,WNK1,0.6452937581823752,1.2201728548295983,2.917983140638309,0.8686409192799819,1.0724443303514248,-0.1688569132070072
27,RPS6KA3,10.80417145335924,13.534968680459475,13.367497244329517,12.174913405683014,12.82173026561714,13.07202918092151
28,CDC14A,1.3479651239101142,2.1937464616460596,0.842200137994187,0.9236837615567437,-0.4803540341912815,-0.3055640069147671
29,MAPK3,10.836116831749024,10.037898981912644,11.916355559373198,12.472827856579046,9.96286112026384,10.949132557353709
30,MAPKAPK2,3.3824403350177072,5.661848839155313,5.014916759479442,5.555014503534393,6.001016714862576,6.054080816136191
31,PAK4,1.603683698176467,2.4319619153844894,3.1942965360643476,1.7625470976234903,4.089877297161234,3.5250871381272386
32,PRKCE,0.6183913486019177,2.234806755168389,2.2056693892351493,1.220197913156529,2.5324665645213127,3.391833004557048
33,GCG,1.5767313186815008,3.5983311445726285,0.931041007496122,2.713220972426113,3.036850803456813,2.5518450607685987
34,RHOA,1.1251257546778994,3.2299836553738515,3.4114303838995497,3.793800621344606,3.607632864288412,3.2762827222805684
35,CHEK1,0.6620620561691992,2.1879329680312165,1.8268631098893366,3.075847682071566,3.3977431941452587,2.1258637711275163
36,AKT1,6.710765577744382,9.041082897314459,8.481438298757647,9.413036229841603,9.03657310301855,8.716022469839318
37,PAK2,0.9626792329319537,2.8970886188460097,2.963450982295236,1.8992487168028533,3.6765274060319393,2.8420009559289947
38,CCNB1,1.631195652220316,2.796892965277442,2.2987879185207283,3.581575559252249,0.9449256512849898,1.5457239283127162
39,GKN2,1.4353059019861147,3.4978653280777046,2.3945670627354225,3.855291557371625,1.7389286113677,2.490392425644737
