,gene,direction
189,RPS6KA5,DOWN_resistance
190,RRAGD,DOWN_resistance
191,RREB1,DOWN_resistance
192,RTN4RL2,DOWN_resistance
193,RUFY3,DOWN_resistance
194,SCD,DOWN_resistance
195,SCIN,DOWN_resistance
196,SDHC,DOWN_resistance
197,SELRC1,DOWN_resistance
198,SEPHS2,DOWN_resistance
199,SESTD1,DOWN_resistance
200,SHPRH,DOWN_resistance
201,SKP2,DOWN_resistance
202,SLC11A2,DOWN_resistance
203,SLC16A10,DOWN_resistance
204,SLC19A2,DOWN_resistance
205,SLC22A18,DOWN_resistance
206,SLC24A5,DOWN_resistance
207,SLC25A13,DOWN_resistance
208,SLC39A10,DOWN_resistance
209,SLC39A6,DOWN_resistance
210,SLC6A15,DOWN_resistance
211,SMARCD1,DOWN_resistance
212,SMG8,DOWN_resistance
213,SNX25,DOWN_resistance
214,SNX27,DOWN_resistance
215,SNX30,DOWN_resistance
216,SNX4,DOWN_resistance
217,SPATA16,DOWN_resistance
218,SPG21,DOWN_resistance
219,ST3GAL6,DOWN_resistance
220,SUCLG2,DOWN_resistance
221,SWAP70,DOWN_resistance
222,SYNJ1,DOWN_resistance
223,TADA1,DOWN_resistance
224,TAF5L,DOWN_resistance
225,TAPT1,DOWN_resistance
226,TBC1D7,DOWN_resistance
227,TBL3,DOWN_resistance
228,TMEM133,DOWN_resistance
229,TMEM18,DOWN_resistance
230,TMEM183A,DOWN_resistance
231,TMEM199,DOWN_resistance
232,TMEM201,DOWN_resistance
233,TMEM246,DOWN_resistance
234,TMEM98,DOWN_resistance
235,TOMM20,DOWN_resistance
236,TRAK2,DOWN_resistance
237,TRIM27,DOWN_resistance
238,TRUB1,DOWN_resistance
239,TSEN2,DOWN_resistance
240,TSNAX,DOWN_resistance
241,TSPAN7,DOWN_resistance
242,TTC7B,DOWN_resistance
243,TTYH2,DOWN_resistance
244,UBAP2L,DOWN_resistance
245,UBR5,DOWN_resistance
246,UNC80,DOWN_resistance
247,USF2,DOWN_resistance
248,USP19,DOWN_resistance
249,USP21,DOWN_resistance
250,USP28,DOWN_resistance
251,UVRAG,DOWN_resistance
252,VPS37C,DOWN_resistance
253,WASF3,DOWN_resistance
254,WBP11,DOWN_resistance
255,WHSC1L1,DOWN_resistance
256,WWP1,DOWN_resistance
257,XPO7,DOWN_resistance
258,ZBED4,DOWN_resistance
259,ZBTB10,DOWN_resistance
260,ZBTB9,DOWN_resistance
261,ZDHHC5,DOWN_resistance
262,ZFP106,DOWN_resistance
263,ZFYVE16,DOWN_resistance
264,ZNF330,DOWN_resistance
265,ZNF609,DOWN_resistance
266,ZNRF2P2,DOWN_resistance
