,epoch,train_loss,test_loss,train_auc,test_auc,lr
0,1,0.6820987552080036,0.6701310679270387,0.7917116269944627,0.7965389475750548,0.0002999487700838458
1,2,0.6619488942645291,0.63575322642784,0.8667156015438164,0.872122946495393,0.0002997951154458088
2,3,0.63278907580182,0.5928815003519088,0.9178177356231247,0.9171267498497062,0.00029953914139310266
3,4,0.5885563148628156,0.5356216930752569,0.9534126439153313,0.9480244028120284,0.00029918102335755686
4,5,0.5354492424225535,0.4669891566868537,0.9725028836624036,0.9665136123277756,0.00029872100677538467
5,6,0.47673778502922776,0.4044957970133507,0.9746680264699349,0.9685671169347417,0.0002981594069189731
6,7,0.4141848515397774,0.3425662774419637,0.9811045413595553,0.9746908241009975,0.0002974966086808112
7,8,0.36925726238156553,0.29342027834325385,0.9835808829249978,0.9770541180512103,0.0002967330663097039
8,9,0.34668042268460647,0.2632273987535353,0.9874576189010399,0.9801796164746586,0.0002958693030994526
9,10,0.3211433313112535,0.24683545357302616,0.9874409878079995,0.9793928742316611,0.0002949059110302156
10,11,0.29820594000885964,0.22792866189413397,0.9868053417943314,0.9793867397892205,0.0002938435503627948
11,12,0.2903683753933867,0.20614259990376216,0.9886728162247306,0.9818773234200744,0.00029268294918612537
12,13,0.2745396662271083,0.18767893760935073,0.9895427069556305,0.9833480559951906,0.0002914249029182806
13,14,0.2889404123693997,0.18315164926620459,0.990025008653806,0.9830582035898757,0.00029007027376133155
14,15,0.26141693756945544,0.19080326073679024,0.9898767382311056,0.9833311862784792,0.00028861999011043726
15,16,0.24956801237020754,0.1826906800085546,0.9897104273007004,0.9819816089415634,0.0002870750459175687
16,17,0.24624017602510656,0.18334356529793872,0.9901388893586939,0.9829937919442502,0.00028543650001030407
17,18,0.27008569752439,0.17336207827547387,0.9905907477001172,0.9834906817819329,0.0002837054753661609
18,19,0.24430022209305202,0.16747871449119167,0.9911762185517307,0.9842912265204216,0.00028188315834296377
19,20,0.23251018272270282,0.16195524840532072,0.9921597081045853,0.9853601531156834,0.00027997079786577355
20,21,0.23235980353068697,0.16443213174586693,0.9910730493982928,0.9841347982381882,0.00027796970457093673
21,22,0.23433257470499277,0.1538500334825309,0.9918891004890105,0.986427546100335,0.00027588124990784085
22,23,0.24231605726621308,0.15365260061649347,0.9923995904804752,0.9866054449311102,0.0002737068651989913
23,24,0.24151374936451922,0.16766850625398358,0.9920252499455966,0.9854797747432736,0.0002714480406590546
24,25,0.22421869759791277,0.16613672674624913,0.9926090294996127,0.9856684088483199,0.0002691063243735396
25,26,0.23323431458370675,0.1569504761289886,0.9921540704459274,0.9852481995411437,0.0002666833212378171
26,27,0.22975259061624873,0.15984401123442518,0.9929647657609205,0.9863017900303042,0.0002641806918572046
27,28,0.22129987599142736,0.15872893302986865,0.9925650557620819,0.986206706172476,0.0002616001514088704
28,29,0.2181355805114754,0.1563740981713906,0.9930921768465869,0.9868431545756806,0.00025894346846633693
29,30,0.2183410758075962,0.15329326739990307,0.9937424807727652,0.9862941219772535,0.0002562124637873888
30,31,0.21570907423595614,0.15331336583699973,0.9930284713037537,0.9871115364324538,0.0002534090090662161
31,32,0.215163865217898,0.15105676192432735,0.9930769551682108,0.9844921295103488,0.0002505350256506492
32,33,0.2151550552138986,0.1571194358100832,0.9933771604917391,0.985950593200584,0.0002475924832253624
33,34,0.21588518835044457,0.15020055265249482,0.9929315035748394,0.9873124394223809,0.0002445833984619506
34,35,0.21662742950127048,0.15584148941763415,0.9937717965977858,0.9872971033162796,0.00024150983363680363
