ID_REF,GeneFoldChange,PValue,AdjPValue,Significant
TC0100006432.hg.1,-0.06499999999999995,0.5487762520530873,1.0,False
TC0100006433.hg.1,0.015000000000000568,0.8965922571628094,1.0,False
TC0100006434.hg.1,-0.30833333333333446,0.2481833551061025,1.0,False
TC0100006435.hg.1,0.15833333333333366,0.37202924237591517,1.0,False
TC0100006436.hg.1,0.11333333333333284,0.5716117263535107,1.0,False
TC0100006437.hg.1,0.01666666666666705,0.9143393343600039,1.0,False
TC0100006438.hg.1,-0.09499999999999975,0.7319706420114254,1.0,False
TC0100006439.hg.1,0.3249999999999993,0.3280246055938107,1.0,False
TC0100006440.hg.1,0.14166666666666705,0.2478716860323219,1.0,False
TC0100006441.hg.1,0.06833333333333247,0.6625150773557404,1.0,False
TC0100006442.hg.1,0.2199999999999993,0.5300046007791088,1.0,False
TC0100006443.hg.1,0.2883333333333331,0.25345064686782354,1.0,False
TC0100006444.hg.1,-0.2766666666666664,0.0746630547991355,1.0,False
TC0100006445.hg.1,-0.18833333333333346,0.567645042151553,1.0,False
TC0100006446.hg.1,0.29499999999999993,0.044481013193985015,1.0,False
TC0100006447.hg.1,-0.09333333333333727,0.7018665327376684,1.0,False
TC0100006448.hg.1,0.10166666666666657,0.5166364917900853,1.0,False
TC0100006449.hg.1,-0.12666666666666693,0.23177499230122617,1.0,False
TC0100006450.hg.1,0.11333333333333329,0.4037357699933107,1.0,False
TC0100006451.hg.1,-0.043333333333333,0.7531661818268219,1.0,False
TC0100006452.hg.1,0.03833333333333311,0.8230352594450507,1.0,False
TC0100006453.hg.1,-0.07000000000000028,0.6836751548235253,1.0,False
TC0100006454.hg.1,-0.2416666666666636,0.317797324345918,1.0,False
TC0100006455.hg.1,0.02000000000000135,0.9824307620171548,1.0,False
TC0100006456.hg.1,-0.16666666666666785,0.682582216349382,1.0,False
TC0100006457.hg.1,-0.36333333333333684,0.30703566171928404,1.0,False
TC0100006458.hg.1,-0.5600000000000005,0.09314898521448702,1.0,False
TC0100006459.hg.1,-0.38166666666666416,0.13630492987814738,1.0,False
TC0100006460.hg.1,0.1116666666666668,0.23884800700752526,1.0,False
TC0100006461.hg.1,-0.0600000000000005,0.7479846965960636,1.0,False
TC0100006462.hg.1,-0.2683333333333344,0.6214633008982583,1.0,False
TC0100006463.hg.1,0.25333333333333297,0.44224891848260617,1.0,False
TC0100006464.hg.1,0.06166666666666698,0.7101401319188148,1.0,False
TC0100006465.hg.1,0.1533333333333342,0.6007545936325323,1.0,False
TC0100006466.hg.1,0.015000000000000568,0.971605758115085,1.0,False
TC0100006467.hg.1,-0.21333333333333337,0.23217835760019356,1.0,False
TC0100006468.hg.1,-0.11499999999999977,0.47280890121704466,1.0,False
TC0100006469.hg.1,-0.23000000000000043,0.4965311949009874,1.0,False
TC0100006470.hg.1,0.2333333333333325,0.11029898267528178,1.0,False
TC0100006471.hg.1,0.13333333333333286,0.730926438408952,1.0,False
TC0100006472.hg.1,0.009999999999999787,0.9576259952687397,1.0,False
TC0100006473.hg.1,0.15333333333333288,0.404252473673917,1.0,False
TC0100006474.hg.1,0.033333333333333215,0.812155345611965,1.0,False
TC0100006475.hg.1,-0.1349999999999989,0.4120513678115885,1.0,False
TC0100006476.hg.1,-0.07500000000000018,0.7381569014491873,1.0,False
TC0100006477.hg.1,-0.19166666666666732,0.1745992229829976,1.0,False
TC0100006478.hg.1,0.1383333333333332,0.4222074152591443,1.0,False
TC0100006479.hg.1,0.0216666666666665,0.8607498111163908,1.0,False
TC0100006480.hg.1,0.043333333333333,0.8281383299373081,1.0,False
TC0100006481.hg.1,0.06833333333333247,0.6560913054071806,1.0,False
TC0100006482.hg.1,-0.03833333333333311,0.5858428302141897,1.0,False
TC0100006483.hg.1,0.22166666666666757,0.5658831933724636,1.0,False
TC0100006484.hg.1,0.28999999999999915,0.4173831386217423,1.0,False
TC0100006485.hg.1,0.1966666666666672,0.24404742294698895,1.0,False
TC0100006486.hg.1,-0.41999999999999993,0.2650453481532081,1.0,False
TC0100006487.hg.1,-0.04999999999999982,0.8729664850884085,1.0,False
TC0100006488.hg.1,-0.02499999999999991,0.8542906375333599,1.0,False
TC0100006489.hg.1,-0.16666666666666785,0.6139693496093948,1.0,False
TC0100006490.hg.1,-0.12666666666666693,0.4918241158362873,1.0,False
TC0100006492.hg.1,0.03166666666666629,0.8049257662130165,1.0,False
TC0100006493.hg.1,0.019999999999999574,0.9033255840079346,1.0,False
TC0100006494.hg.1,-0.21000000000000085,0.6547261662101928,1.0,False
TC0100006495.hg.1,-0.03000000000000025,0.8403693418186667,1.0,False
TC0100006496.hg.1,0.011666666666666714,0.9091042921719591,1.0,False
TC0100006497.hg.1,-0.05999999999999961,0.2492494103820959,1.0,False
TC0100006498.hg.1,-0.006666666666666821,0.9557836207615061,1.0,False
TC0100006499.hg.1,0.21999999999999886,0.4094653387893944,1.0,False
TC0100006500.hg.1,-0.19333333333333425,0.49227149900233674,1.0,False
TC0100006501.hg.1,0.22499999999999964,0.6386188438062638,1.0,False
TC0100006502.hg.1,0.04666666666666597,0.7111597613615881,1.0,False
TC0100006503.hg.1,0.10999999999999943,0.6241413398314902,1.0,False
TC0100006504.hg.1,-0.1583333333333341,0.46227607699137335,1.0,False
TC0100006505.hg.1,0.15500000000000025,0.11258873425646596,1.0,False
TC0100006506.hg.1,0.1899999999999995,0.31550087038522373,1.0,False
TC0100006507.hg.1,-0.1899999999999995,0.5199450496829023,1.0,False
TC0100006508.hg.1,-0.043333333333333446,0.7202729175412643,1.0,False
TC0100006509.hg.1,0.08666666666666734,0.4772720493723699,1.0,False
TC0100006510.hg.1,0.0983333333333345,0.7972252053662051,1.0,False
TC0100006511.hg.1,-0.3216666666666672,0.10123459909145695,1.0,False
TC0100006512.hg.1,-0.03666666666666707,0.8965132086783262,1.0,False
TC0100006513.hg.1,-0.2783333333333329,0.1471816180446908,1.0,False
TC0100006514.hg.1,-0.05166666666666675,0.1692621179940013,1.0,False
TC0100006515.hg.1,-0.0066666666666659324,0.9603238027691566,1.0,False
TC0100006516.hg.1,0.018333333333332646,0.8946467648928796,1.0,False
TC0100006517.hg.1,-0.16833333333333345,0.580484593250614,1.0,False
TC0100006519.hg.1,0.18500000000000139,0.42968748843523724,1.0,False
TC0100006520.hg.1,0.12333333333333396,0.6358684172047838,1.0,False
TC0100006521.hg.1,-0.3216666666666663,0.26038897057062727,1.0,False
TC0100006522.hg.1,0.28999999999999915,0.2264139419421639,1.0,False
TC0100006523.hg.1,-0.14000000000000057,0.23117080882289984,1.0,False
TC0100006524.hg.1,-0.331666666666667,0.30874457545995343,1.0,False
TC0100006526.hg.1,0.006666666666666821,0.9618741796174936,1.0,False
TC0100006527.hg.1,0.3149999999999995,0.008680316778799728,1.0,False
TC0100006528.hg.1,0.07833333333333226,0.7321078648179831,1.0,False
TC0100006529.hg.1,0.23166666666666647,0.21167455838662821,1.0,False
