,n_substrates,SK-MEL-28,SK-MEL-31,G361,SH-4,A375,RPMI-7951
ERK (MAPK1/3),212,15.621564917712842,15.443514300565054,15.966484923947537,16.910781121542573,16.696665090715754,15.872335004620915
AKT,222,14.715081347645615,14.922428728726889,14.859482528691679,15.348515876446648,14.665113250414015,14.957802223323474
mTOR,191,16.331204581586736,16.22534086430798,16.35798044019565,16.465115080355783,16.666287948630174,15.543227206586328
CDK (cell-cycle),80,15.854611822848085,16.148474039425807,15.576271013292475,15.901808290111171,14.906433515723245,14.902428966879052
FAK/SRC,164,15.710013365201155,15.040618867151183,15.048925543613569,15.173495272397945,15.73825600075316,14.88366922288981
