GeneSym,PhosphoLog2FC,n_phosphosites,n_sig_phospho,ProteinLog2FC,ProteinSig
RABGGTB,0.9589990636533656,1,0,-0.1268586582501925,False
TRIM3,0.954961287391677,3,1,0.056580810983973606,False
SEPT11,0.9545324874867056,1,0,-0.1103453575242348,False
JUND,0.9523818443134134,3,0,0.007883586347869453,False
CNOT3,0.9494111797978775,1,0,-0.017550658738120006,False
TRMT10C,0.9445198066327075,3,1,0.1286430932635021,False
RSBN1L,0.9434679497582152,2,1,0.5956321177676536,False
RPL12,0.9391394803740241,1,0,-0.08967657831025733,False
PAK1IP1,0.9382691662876574,1,0,0.13192191051534508,False
STK3,0.9348386600684625,3,1,0.0324215277094666,False
RLF,0.9205953709856161,3,1,0.059494136150476606,False
NOP14,0.9174746599093933,4,1,0.10858809304113848,False
RNF34,0.9174211801545944,1,0,0.07694515261580648,False
KCTD5,0.9148655587196224,2,1,-0.042140203373847385,False
SCYL2,0.9143254621127568,1,0,-0.4118787837339539,False
DYNC1H1,0.9141909439531114,3,1,-0.12042940503989286,False
ABI2,0.9138656352231352,7,2,-0.31592222339607545,False
CHAF1B,0.909050299849465,5,2,0.8586564595868218,False
RIC8A,0.908049608183679,3,1,-0.2791944652675227,False
DDX47,0.9061575722347168,2,0,0.11858773374183329,False
PDIA6,0.9040066748648243,1,0,-0.060768914569010235,False
CCAR2,0.901724614760893,8,3,-0.014459322654214901,False
PRKRIR,0.9010403955350093,1,0,0.010010504181988011,False
BTF3,0.8974107748530429,1,0,0.03290912502592036,False
HIST1H1B,0.8947898247496946,4,1,0.09264665068387501,False
ACSS2,0.8925595772214958,2,1,0.06453909872556096,False
FADD,0.8911122548322794,1,0,-0.11111478870456182,False
CFL2,0.8897481508161356,1,0,-0.31066515797293803,False
RPL17,0.8892721608980558,2,1,-0.08108980981641167,False
FGD4,0.8872771239862622,1,0,0.06655129004392535,False
FAM195A,0.8855317288426541,1,0,0.10299409200446163,False
TTYH2,0.8842325894248416,3,1,-0.45723718832230276,False
HMGCS1,0.8832227493230249,1,0,0.11461936673295625,False
SLC19A3,0.8816572674241918,1,0,0.09927100521948873,False
ADRBK1,0.8794703682891871,1,0,-0.029919716473731484,False
PRR14L,0.8778035848710211,1,0,0.019682649883723258,False
SYTL2,0.8769096138011057,16,6,0.6577639737804901,False
SMEK2,0.8743466786418619,2,0,-0.26324964099593373,False
LIN54,0.8695006034195423,3,2,0.03883793674718561,False
SNUPN,0.8690926123052325,2,1,-0.22957481405566682,False
CHD3,0.8677786883996635,10,2,0.2780054742550355,False
KCNAB2,0.8673848833447421,3,1,-0.0648589752586588,False
CHAF1A,0.8671125598575381,7,3,0.8583428257733345,False
MYSM1,0.8669679699112418,2,1,0.07783418596974201,False
PCBP2,0.8661256009914755,4,1,0.05990451467470592,False
MBOAT2,0.8651256165118717,1,0,-0.050608809743867056,False
FAM76B,0.8650578717377257,1,0,-0.0018670943902776571,False
CCDC132,0.8599669392528725,5,2,0.19892304755114765,False
SGOL2,0.8590277334058621,3,1,0.010336988136870673,False
TMEM163,0.8572306253637767,8,1,0.5398687288801014,False
ARHGDIA,0.8561155385469643,2,1,0.05365646362346865,False
CCNB2,0.8524655322586057,1,0,-0.27761533219217327,False
ZFP91,0.8515831653416512,3,0,0.13799328761074392,False
SPIN1,0.8515703366857856,1,0,-0.4955146957269534,False
