Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Variable modifications first search	Use variable modifications first search	Multiplicity	Max. missed cleavages	Max. labeled AAs	Labels0	Labels1	Labels2	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Multiplets	Multiplets z=1	Multiplets z=2	Multiplets z=3	Multiplets z=4	Multiplets z=5	Multiplets z=6	Multiplets z=7	Multiplets Sequenced	Multiplets Sequenced [%]	Multiplets Repeatedly Sequenced	Multiplets Repeatedly Sequenced [%]	Multiplets Identified	Multiplets Identified [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
20131116_CCs_EV_A375_ERKi_30min_S03_4_5_6_131122061521	ERK1b	9	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		13507	89348	136342	17864	24490	93988	10144	7546	2059	539	7.44	42.24	8.41	0.57	2500	1775170	65314	3.68	4186	6.41	125503	33277	31214	26.51	30.51	6501	19.54	6753	165	2471	3532	542	34	7	2	5713	84.6	4600	80.52	2288	40.05	+	0.56944	0.72289	0.38223	0.5037	
20131116_CCs_EV_A375_ERKi_30min_S07_8	ERK1	10	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		15723	83077	130503	12846	22805	94852	6517	4937	1286	294	4.99	38.43	5.64	0.31	1713	1879221	60012	3.19	3367	5.61	112666	28075	26816	24.92	28.8	5584	19.89	4928	31	834	2687	1217	146	12	1	4270	86.65	3500	81.97	1665	38.99	+	0.61478	0.74434	0.3919	0.49532	
20131116_CCs_EV_A375_ERKi_30min_S07_8_131122105649	ERK1b	10	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		14549	86633	136405	13192	23669	99544	7654	5523	1802	329	5.61	41.87	7.61	0.33	1993	1825504	61846	3.39	3539	5.72	109242	28962	27592	26.51	30.63	5648	19.5	4995	33	972	2810	1069	104	7	0	4325	86.59	3541	81.87	1776	41.06	+	0.63035	0.76936	0.40145	0.50467	
20131116_CCs_EV_A375_ERKi_30min_S09_10_11	ERK1	11	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		14516	87313	137029	6743	30854	99432	2458	1679	723	56	1.79	24.9	2.34	0.06	708	2201005	65269	2.97	2302	3.53	128867	32200	30695	24.99	29.63	4442	13.8	3339	22	421	1257	1189	344	80	26	2784	83.38	2081	74.75	668	23.99	+	0.68091	0.84697	0.3806	0.49891	
20131116_CCs_EV_A375_ERKi_30min_S09_10_11_131122154332	ERK1b	11	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		14202	88297	144078	5521	26995	111562	2076	1363	633	80	1.44	24.69	2.34	0.07	601	2136738	62420	2.92	2493	3.99	109240	26644	25077	24.39	29.36	4566	17.14	2451	17	390	945	778	240	64	17	2135	87.11	1687	79.02	532	24.92	+	0.73186	0.89939	0.41939	0.53202	
20131116_CCs_EV_A375_ERKi_30min_S013_14	ERK1	12	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		16237	80766	123619	17349	20564	85706	6636	5687	702	247	5.37	32.78	3.41	0.29	2100	1698531	58302	3.43	3308	5.67	119881	31199	29523	26.02	31.85	5275	16.91	6604	67	2328	3602	577	25	4	1	5749	87.05	4705	81.84	2043	35.54	+	0.71422	0.86525	0.44927	0.56919	
20131116_CCs_EV_A375_ERKi_30min_S013_14_131122203229	ERK1b	12	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		15698	82091	126164	16908	21110	88146	5026	4470	421	135	3.98	26.44	1.99	0.15	1702	1563320	58370	3.73	3425	5.87	108274	31121	29385	28.74	34.5	5447	17.5	6487	74	2396	3491	498	21	6	1	5660	87.25	4620	81.63	1714	30.28	+	0.70475	0.8616	0.43907	0.55127	
20131116_CCs_EV_A375_ERKi_30min_S015	ERK1	13	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		23292	58318	100796	6275	9565	84956	1562	1462	87	13	1.55	23.3	0.91	0.02	514	1704552	35018	2.05	2107	6.02	64241	12226	10800	19.03	31.76	2625	21.47	1997	24	1353	546	54	18	1	1	1819	91.09	1557	85.6	522	28.7	+	0.47065	0.60327	0.32088	0.42651	
20131116_CCs_EV_A375_ERKi_30min_S015_131123012154	ERK1b	13	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		33609	23870	45033	775	1932	42326	0	0	0	0	0	0	0	0	0	1379600	10640	0.77	420	3.95	26584	2185	1715	8.22	15.14	302	13.82	318	3	193	110	11	1	0	0	278	87.42	216	77.7	0	0	+					
20131116_CCs_EV_A375_MEKi_30min_S01	MEK1	7	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		15542	81775	130581	12962	20007	97612	6537	5183	1052	302	5.01	39.99	5.26	0.31	1648	1679323	62661	3.73	4749	7.58	84172	24976	20365	29.67	39.13	5311	21.26	4232	95	2296	1501	280	45	11	4	3823	90.34	3260	85.27	1628	42.58	+	0.5739	0.71871	0.47589	0.62433	
20131116_CCs_EV_A375_MEKi_30min_S02_12	MEK1	8	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		13392	88357	134364	18510	23840	92014	10586	8041	1994	551	7.88	43.44	8.36	0.6	2579	1720534	69445	4.04	5439	7.83	106253	32276	27725	30.38	37.36	7171	22.22	6133	99	2697	2836	409	75	12	5	5498	89.65	4657	84.7	2398	43.62	+	0.60218	0.73925	0.46698	0.6026	
20131116_CCs_EV_A375_MEKi_30min_S03_4_5_6	MEK1	9	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		13077	90181	132307	21400	26655	84252	15043	11330	3006	707	11.37	52.94	11.28	0.84	3466	1806513	71063	3.93	4937	6.95	124046	37174	34457	29.97	35.22	7787	20.95	7447	99	2000	4009	1169	136	26	8	6571	88.24	5496	83.64	3422	52.08	+	0.59302	0.74237	0.42655	0.55804	
20131116_CCs_EV_A375_MEKi_30min_S07_8	MEK1	10	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		13823	88438	136089	14851	25936	95302	9892	7344	2144	404	7.27	49.45	8.27	0.42	2276	1824485	66878	3.67	3919	5.86	109176	31624	29783	28.97	34.2	6773	21.42	5202	17	739	2730	1437	234	35	10	4635	89.1	3919	84.55	2228	48.07	+	0.5827	0.72616	0.39736	0.5181	
20131116_CCs_EV_A375_MEKi_30min_S09_10_11	MEK1	11	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		13540	89692	145267	5631	28486	111150	3057	2094	862	101	2.1	37.19	3.03	0.09	757	2321217	66990	2.89	2969	4.43	113766	27010	25042	23.74	29.71	5366	19.87	2313	22	322	800	793	269	76	31	2035	87.98	1610	79.12	730	35.87	+	0.66118	0.83739	0.43113	0.58436	
20131116_CCs_EV_A375_MEKi_30min_S013_14	MEK1	12	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		16485	79744	126551	16912	16025	93614	6664	5960	571	133	5.27	35.24	3.56	0.14	1914	1480402	53363	3.6	4080	7.65	89685	25047	23665	27.93	34.03	5767	23.02	5834	50	1893	3259	574	44	12	2	5108	87.56	4224	82.69	2118	41.46	+	0.52674	0.66283	0.32851	0.4307	
20131116_CCs_EV_A375_MEKi_30min_S015	MEK1	13	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		17159	76727	127680	10398	15376	101906	3292	2922	297	73	2.58	28.1	1.93	0.07	1041	1527326	53425	3.5	3397	6.36	68909	19483	16846	28.27	38.31	4260	21.87	3263	40	1802	1175	215	22	7	2	2989	91.6	2561	85.68	1065	35.63	+	0.46821	0.57731	0.33798	0.43516	
20140207_KMJ_CCS_RAFi30min_V3_S01	RAF3	7	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		13906	86087	129033	17497	25644	85892	6256	5027	725	504	4.85	28.73	2.83	0.59	1200	1530249	61723	4.03	11184	18.12	87289	27357	20427	31.34	39.97	8792	32.14	5078	123	2609	1920	330	76	17	3	4407	86.79	3725	84.52	1368	31.04	+	0.69262	0.83798	0.59034	0.74156	
20140207_KMJ_CCS_RAFi30min_V3_S02_12	RAF3	8	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		11945	92269	130506	25289	28743	76474	10149	8614	1157	378	7.78	34.06	4.03	0.49	1878	1592043	69354	4.36	11265	16.24	106345	35047	28729	32.96	40.24	10783	30.77	7343	181	3324	3135	560	107	28	8	6287	85.62	5275	83.9	2144	34.1	+	0.64052	0.78208	0.50042	0.63742	
20140207_KMJ_CCS_RAFi30min_V3_S03_4_5_6	RAF3	9	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		11519	94583	122899	33308	32959	56632	21818	17688	3667	463	17.75	53.1	11.13	0.82	3959	1826155	73273	4.01	10642	14.52	149092	45037	41501	30.21	34.17	12700	28.2	11705	154	3364	6253	1676	205	40	13	9316	79.59	7517	80.69	4523	48.55	+	0.64738	0.80587	0.44836	0.58826	
20140207_KMJ_CCS_RAFi30min_V3_S07_8	RAF3	10	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		12093	92920	129321	21782	34737	72802	12073	9238	2652	183	9.34	42.41	7.63	0.25	2082	1697537	67906	4	9677	14.25	112143	35493	33358	31.65	36.35	11628	32.76	6862	43	906	3633	1927	312	35	6	5687	82.88	4709	82.8	2265	39.83	+	0.69592	0.85927	0.45464	0.57861	
20140207_KMJ_CCS_RAFi30min_V3_S09_10_11	RAF3	11	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		12010	94230	139665	9479	39316	90870	4575	3191	1280	104	3.28	33.66	3.26	0.11	969	1997979	70133	3.51	7731	11.02	111992	32881	30815	29.36	34.42	10074	30.64	3571	35	349	1185	1400	439	125	38	2926	81.94	2362	80.72	940	32.13	+	0.79563	0.9663	0.49726	0.63432	
20140207_KMJ_CCS_RAFi30min_V3_S013_14	RAF3	12	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		12238	92047	123834	35137	25123	63574	18206	15887	2033	286	14.7	45.21	8.09	0.45	3634	1556671	68233	4.38	9680	14.19	129441	41115	38829	31.76	36.6	11406	27.74	11814	146	3700	6469	1358	122	13	6	9557	80.9	7776	81.36	4189	43.83	+	0.72441	0.89052	0.46865	0.59342	
20140207_KMJ_CCS_RAFi30min_V3_S015	RAF3	13	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		13586	87042	129101	20786	24197	84118	6511	5773	584	154	5.04	27.77	2.41	0.18	1340	1426781	63453	4.45	9335	14.71	80360	28282	23473	35.19	45.33	8756	30.96	5611	98	3148	1944	333	64	18	6	4995	89.02	4306	86.21	1563	31.29	+	0.55814	0.68031	0.42573	0.53693	
20140210_KMJ_CCS_MEKi30min_V3_S01	MEK3	7	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		13907	86349	123909	20976	27813	75120	7674	6198	1076	400	6.19	29.55	3.87	0.53	1542	1536032	64299	4.19	10437	16.23	97395	32514	26643	33.38	42.15	9759	30.01	6353	274	3330	2279	347	99	21	3	5462	85.98	4652	85.17	1787	32.72	+	0.65844	0.81063	0.53931	0.69441	
20140210_KMJ_CCS_MEKi30min_V3_S02_12	MEK3	8	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		11545	93692	124442	30949	31993	61500	12903	10795	1759	349	10.37	34.88	5.5	0.57	2553	1699980	72456	4.26	10904	15.05	134756	43150	37662	32.02	37.76	11768	27.27	10309	414	5080	4068	617	108	17	5	8496	82.41	6973	82.07	2801	32.97	+	0.70186	0.87009	0.51914	0.6751	
20140210_KMJ_CCS_MEKi30min_V3_S03_4_5_6	MEK3	9	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		11419	95325	119711	38406	32533	48772	31334	25074	5697	563	26.17	65.29	17.51	1.15	6988	2032935	77186	3.8	9545	12.37	184656	52037	49417	28.18	31.56	12449	23.92	16018	451	6329	7622	1420	139	38	19	12088	75.47	9438	78.08	7370	60.97	+	0.46733	0.63786	0.32495	0.47382	
20140210_KMJ_CCS_MEKi30min_V3_S07_8	MEK3	10	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		11612	94563	126929	27533	34664	64732	20174	15709	4168	297	15.89	57.06	12.02	0.46	4431	1630897	71493	4.38	9855	13.78	126486	41864	40058	33.1	37.07	12375	29.56	9750	69	1522	5880	2017	241	18	3	8021	82.27	6531	81.42	4410	54.98	+	0.58874	0.75478	0.37546	0.50429	
20140210_KMJ_CCS_MEKi30min_V3_S09_10_11	MEK3	11	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		11725	95141	140727	10542	39013	91172	5412	3689	1589	134	3.85	34.99	4.07	0.15	1308	2073572	70448	3.4	7572	10.75	117506	33602	31765	28.6	33.29	9989	29.73	4300	23	537	1559	1577	448	112	44	3409	79.28	2644	77.56	1233	36.17	+	0.80861	1.0066	0.47122	0.6198	
20140210_KMJ_CCS_MEKi30min_V3_S013_14	MEK3	12	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		12026	92839	123752	35058	26868	61826	22036	18737	2976	323	17.81	53.45	11.08	0.52	5074	1579531	69467	4.4	9507	13.69	139717	42994	41226	30.77	34.41	12114	28.18	12669	195	4191	6745	1410	113	11	4	9946	78.51	7942	79.85	5169	51.97	+	0.6941	0.87134	0.45052	0.58989	
20140210_KMJ_CCS_MEKi30min_V3_S015	MEK3	13	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		12530	90539	128046	24549	28483	75014	8103	7121	824	158	6.33	29.01	2.89	0.21	1718	1457171	68522	4.7	10000	14.59	98890	35229	30200	35.62	44.72	10556	29.96	7025	169	3849	2535	357	91	19	5	6184	88.03	5328	86.16	1959	31.68	+	0.66938	0.80875	0.50606	0.64376	
20140211_KMJ_CCS_RAFi_V3_30min_P01	RAF3	1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		13875	107710	124451	55042	35927	33482	59726	40604	16533	2589	47.99	73.77	46.02	7.73	25893	2311597	103148	4.46	1417	1.37	315683	87004	85105	27.56	29.9	3554	4.08	36089	2120	14655	14454	4037	745	70	8	25235	69.92	18333	72.65	18535	73.45	+	0.46631	0.64376	0.31045	0.46504	
20140211_KMJ_CCS_RAFi_V3_30min_P02	RAF3	2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		22248	72436	94352	26072	24448	43832	10856	8772	1934	150	11.51	33.65	7.91	0.34	4015	1632988	64703	3.96	1610	2.49	126013	46108	43388	36.59	44.57	3466	7.52	13400	1408	6354	5053	563	22	0	0	10908	81.4	8625	79.07	4024	36.89	+	0.75397	0.94562	0.60966	0.80417	
20140211_KMJ_CCS_RAFi_V3_30min_P03	RAF3	3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		34494	24776	40623	3962	4965	31696	196	177	19	0	0.48	4.47	0.38	0	122	1993798	17095	0.86	788	4.61	45142	7162	6506	15.87	27.19	1080	15.08	1604	114	704	701	79	6	0	0	1417	88.34	1200	84.69	125	8.82	+	0.50229	0.60393	0.41381	0.52445	
20140211_KMJ_CCS_RAFi_V3_30min_P04	RAF3	4	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		16180	97871	115540	50969	29233	35338	44669	31452	11181	2036	38.66	61.71	38.25	5.76	20360	1906015	91576	4.8	2029	2.22	230155	75302	73846	32.72	37.72	4163	5.53	30521	3178	20585	6124	611	19	4	0	22365	73.28	16912	75.62	14194	63.47	+	0.51257	0.70159	0.3345	0.4772	
20140211_KMJ_CCS_RAFi_V3_30min_P05	RAF3	5	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		17987	89488	108937	42207	27832	38898	27432	20966	5948	518	25.18	49.67	21.37	1.33	11829	2252353	82397	3.66	1902	2.31	221148	64619	63222	29.22	32.93	4668	7.22	23710	805	6901	14564	1361	74	5	0	17997	75.9	13588	75.5	9428	52.39	+	0.64513	0.82517	0.38514	0.5109	
20140211_KMJ_CCS_RAFi_V3_30min_P06	RAF3	6	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		18351	88575	114673	35193	27284	52196	24193	19539	4252	402	21.1	55.52	15.58	0.77	9526	2665030	78841	2.96	2105	2.67	243542	56726	55601	23.29	25.98	4794	8.45	21611	347	3273	9499	6559	1694	213	26	15112	69.93	11041	73.06	8778	58.09	+	0.6555	0.8252	0.35944	0.48129	
20140213_KMJ_CCS_MEKi_V3_30min_P01	MEK3	1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		13848	107533	125332	52641	37093	35598	59309	39665	17165	2479	47.32	75.35	46.28	6.96	26814	2299768	102717	4.47	1482	1.44	306278	85428	83423	27.89	30.26	3817	4.47	34143	1754	13839	13705	3957	796	82	10	24334	71.27	17651	72.54	18370	75.49	+	0.45983	0.63756	0.30766	0.46148	
20140213_KMJ_CCS_MEKi_V3_30min_P02	MEK3	2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		19718	81851	100607	31453	31638	37516	13443	9941	3337	165	13.36	31.61	10.55	0.44	5277	2013471	75638	3.76	1831	2.42	182742	58209	54464	31.85	37.65	3858	6.63	18868	2203	8801	6858	956	45	3	2	14289	75.73	10550	73.83	4680	32.75	+	0.81187	1.0028	0.66023	0.85327	
20140213_KMJ_CCS_MEKi_V3_30min_P03	MEK3	3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		25577	58662	83647	18006	15659	49982	1536	1368	161	7	1.84	7.6	1.03	0.01	853	1947316	48662	2.5	1516	3.12	85140	29033	27620	34.1	46.34	3722	12.82	7405	258	3270	3436	429	12	0	0	6645	89.74	5759	86.67	903	13.59	+	0.63756	0.77207	0.48293	0.6026	
20140213_KMJ_CCS_MEKi_V3_30min_P04	MEK3	4	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		15730	100610	116956	52704	31560	32692	50953	35157	13461	2335	43.57	66.71	42.65	7.14	23769	1762270	94865	5.38	1952	2.06	234741	79208	77606	33.74	38.72	4136	5.22	32029	3591	21075	6700	619	37	6	1	23654	73.85	17812	75.3	16051	67.86	+	0.49027	0.68142	0.32635	0.4734	
20140213_KMJ_CCS_MEKi_V3_30min_P05	MEK3	5	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		15600	99346	119408	46988	32290	40130	41839	29644	10950	1245	35.04	63.09	33.91	3.1	17533	2020454	92372	4.57	1849	2	241393	73622	71466	30.5	34.22	4817	6.54	27705	2120	8713	15060	1669	128	14	1	20452	73.82	15337	74.99	12954	63.34	+	0.46014	0.62903	0.29336	0.4287	
20140213_KMJ_CCS_MEKi_V3_30min_P06	MEK3	6	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		16356	96828	124091	36842	32723	54526	32203	24324	7173	706	25.95	66.02	21.92	1.29	12468	2514830	86989	3.46	2096	2.41	255426	63514	62126	24.87	27.16	5003	7.88	22541	349	3410	9495	6996	1974	274	43	16190	71.82	11777	72.74	10796	66.68	+	0.50652	0.67634	0.29581	0.43044	
20140214_CCS_EV_A375_MEKi_30min_v4_P01	MEK4	1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		13635	107709	125361	52842	37215	35304	58231	38480	17024	2727	46.45	72.82	45.74	7.72	25044	2273282	102837	4.52	1745	1.7	297323	85077	82935	28.61	31.38	4428	5.2	33525	2507	14913	12647	2943	473	35	7	23789	70.96	17427	73.26	17339	72.89	+	0.46494	0.64068	0.31406	0.46278	
20140214_CCS_EV_A375_MEKi_30min_v4_P02	MEK4	2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		21612	74363	98542	22471	27713	48358	4193	3269	845	79	4.26	14.55	3.05	0.16	1733	1816761	65498	3.61	2313	3.53	140915	45179	41639	32.06	39.23	4074	9.02	12504	2114	6952	3125	283	25	4	1	9573	76.56	7268	75.92	1483	15.49	+	0.63322	0.78696	0.47557	0.63831	
20140214_CCS_EV_A375_MEKi_30min_v4_P03	MEK4	3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		29339	44210	63381	13166	11873	38342	1409	1299	104	6	2.22	9.87	0.88	0.02	739	1437736	38224	2.66	951	2.49	70790	21755	20513	30.73	42.74	2916	13.4	5094	73	1574	2933	500	13	1	0	4707	92.4	4182	88.85	797	16.93	+	0.62939	0.76838	0.53756	0.6741	
20140214_CCS_EV_A375_MEKi_30min_v4_P04	MEK4	4	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		15694	99674	117032	51462	30854	34716	47016	32431	12456	2129	40.17	63.02	40.37	6.13	22175	1971589	92753	4.7	2213	2.39	247178	77132	75285	31.21	36.82	4498	5.83	31397	4030	20744	6037	571	14	1	0	22624	72.06	17137	75.75	14503	64.1	+	0.51048	0.69559	0.34402	0.49003	
20140214_CCS_EV_A375_MEKi_30min_v4_P05	MEK4	5	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		15347	99844	117581	49711	32396	35474	42727	30482	11022	1223	36.34	61.32	34.02	3.45	17767	2062650	93564	4.54	2117	2.26	241435	75873	73976	31.43	34.74	5504	7.25	27753	1625	9836	14693	1527	71	1	0	21044	75.83	16183	76.9	13112	62.31	+	0.47351	0.64352	0.31818	0.45748	
20140214_CCS_EV_A375_MEKi_30min_v4_P06	MEK4	6	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		16459	95806	120907	40618	30087	50202	33719	26128	6810	781	27.89	64.33	22.63	1.56	12592	2415903	87626	3.63	1951	2.23	246689	64646	63406	26.21	28.87	5416	8.38	22986	255	4319	10221	6461	1518	184	28	17141	74.57	12978	75.71	11278	65.8	+	0.45292	0.61407	0.27761	0.41121	
20140214_CCS_EV_A375_MEKi_30min_v4_S01	MEK4	7	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		14286	85735	130974	16730	23766	90478	9236	7043	1440	753	7.05	42.1	6.06	0.83	2197	1618825	70626	4.36	5439	7.7	96333	32498	26264	33.74	40.47	6048	18.61	6202	190	3403	2241	304	53	10	1	5504	88.75	4619	83.92	2386	43.35	+	0.51815	0.6399	0.41044	0.52872	
20140214_CCS_EV_A375_MEKi_30min_v4_S02_12	MEK4	8	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		12735	90577	134528	20818	25808	87902	10289	8186	1548	555	7.65	39.32	6	0.63	2610	1643081	76011	4.63	4781	6.29	115067	38316	32750	33.3	38.97	6562	17.13	7930	198	3743	3480	421	69	11	8	6956	87.72	5819	83.65	2682	38.56	+	0.55322	0.69327	0.41557	0.54994	
