ensp,gene
ENSP00000251900,SCML2
ENSP00000252115,POLDIP3
ENSP00000252137,ESS2
ENSP00000252457,CDC16
ENSP00000252542,SAFB2
ENSP00000252599,COLGALT1
ENSP00000252674,MLLT1
ENSP00000252818,JUND
ENSP00000252971,MNX1
ENSP00000253003,ADRM1
ENSP00000253024,TRIM28
ENSP00000253048,ZC3H4
ENSP00000253107,PPAN
ENSP00000253108,EIF3G
ENSP00000253251,UBE4B
ENSP00000253329,PPIL4
ENSP00000253754,PDLIM4
ENSP00000253861,EXOC4
ENSP00000253925,PPFIA1
ENSP00000254193,SNRPA1
ENSP00000254260,RHPN2
ENSP00000254286,ACTR10
ENSP00000254325,RFX1
ENSP00000254337,DCAF15
ENSP00000254480,SMARCC1
ENSP00000254508,NUP210
ENSP00000254654,ILKAP
ENSP00000254718,MYBBP1A
ENSP00000254719,RPA1
ENSP00000254803,UTP3
ENSP00000254816,TRIM47
ENSP00000254821,ZRANB2
ENSP00000254950,VPS4A
ENSP00000255120,NASP
ENSP00000255380,CHRM3
ENSP00000255764,MED10
ENSP00000256413,CTIF
ENSP00000256637,SORT1
ENSP00000256646,NOTCH2
ENSP00000256720,LPIN1
ENSP00000256854,NARS1
ENSP00000256858,RELCH
ENSP00000256897,CCNH
ENSP00000256996,DDB2
ENSP00000257075,PUM1
ENSP00000257181,PRPF38A
ENSP00000257287,CEP135
ENSP00000257567,TBX3
ENSP00000257787,AKIRIN2
ENSP00000258062,REPS1
ENSP00000258098,RAB11FIP5
ENSP00000258198,DYNC1LI2
ENSP00000258201,FHOD1
ENSP00000258214,CCDC102A
ENSP00000258390,DOCK10
ENSP00000258457,C2orf49
ENSP00000258484,EPC2
ENSP00000258654,COG3
ENSP00000258729,IGF2BP3
ENSP00000259008,BRIP1
ENSP00000259154,KCTD3
ENSP00000259235,SAP130
ENSP00000259523,MYC
ENSP00000259818,TUBB2B
ENSP00000260045,THAP12
ENSP00000260129,TGS1
ENSP00000260210,BUD13
ENSP00000260247,DCUN1D5
ENSP00000260363,KIF23
ENSP00000260746,ARL3
ENSP00000260753,KIF20B
ENSP00000260803,DBR1
ENSP00000260810,TOPBP1
ENSP00000261017,ABI2
ENSP00000261167,WBP11
ENSP00000261245,MNAT1
ENSP00000261275,ENTREP2
ENSP00000261313,PEBP1
ENSP00000261326,MOCOS
ENSP00000261366,LMNB1
ENSP00000261396,NUP133
ENSP00000261424,RFC1
ENSP00000261439,TBC1D1
ENSP00000261455,PACC1
ENSP00000261461,PPP2R5A
ENSP00000261509,PALLD
ENSP00000261531,SNW1
ENSP00000261569,MAST4
ENSP00000261584,PALB2
ENSP00000261588,KATNIP
ENSP00000261593,RNF138
ENSP00000261600,THOC1
ENSP00000261622,SLC7A5
ENSP00000261667,KPNA3
ENSP00000261674,SFSWAP
ENSP00000261681,PALS1
