ensp,gene
ENSP00000335044,ARID2
ENSP00000335082,FAM91A1
ENSP00000335201,BCDIN3D
ENSP00000335320,BCL9L
ENSP00000335321,SF3B1
ENSP00000335557,SLX4IP
ENSP00000335574,RREB1
ENSP00000336127,TTC7B
ENSP00000336565,ZNF446
ENSP00000336620,ZNF687
ENSP00000336721,LARP1
ENSP00000336752,FIP1L1
ENSP00000336799,TUBA1B
ENSP00000336824,SLK
ENSP00000336842,ACTR8
ENSP00000337250,ASXL2
ENSP00000337289,CENPQ
ENSP00000337332,SIRT6
ENSP00000337445,ELAC2
ENSP00000337513,SRA1
ENSP00000337648,SLC26A6
ENSP00000337838,RTN4
ENSP00000338127,TESK1
ENSP00000338143,SUPT6H
ENSP00000338235,MTDH
ENSP00000338258,CDC42EP4
ENSP00000338371,TNRC6B
ENSP00000338378,AGAP1
ENSP00000338516,BTF3
ENSP00000338533,TTC33
ENSP00000338608,ELF4
ENSP00000338718,ATXN2L
ENSP00000338766,NPHP3
ENSP00000338785,STARD13
ENSP00000338788,ZC3H15
ENSP00000338845,PCGF6
ENSP00000338885,C2CD2L
ENSP00000338964,GGT7
ENSP00000339017,ATAD1
ENSP00000339063,EEF1A1
ENSP00000339090,RBMX2
ENSP00000339109,ANAPC1
ENSP00000339145,RRP1B
ENSP00000339191,CAV1
ENSP00000339299,TRIO
ENSP00000339495,NELFB
ENSP00000339566,H1-2
ENSP00000339637,BRAT1
ENSP00000339723,CIRSR
ENSP00000339889,ECPAS
ENSP00000339897,EME1
ENSP00000340184,LIMA1
ENSP00000340271,TAF3
ENSP00000340594,SYDE2
ENSP00000340635,CFL2
ENSP00000340690,RUNX1
ENSP00000340691,EIF4EBP1
ENSP00000340796,ZNF326
ENSP00000340815,SLC3A2
ENSP00000340836,OSTF1
ENSP00000340900,MIA3
ENSP00000341171,MTSS2
ENSP00000341324,SRFBP1
ENSP00000341489,SYDE1
ENSP00000341680,DTNBP1
ENSP00000341826,HNRNPA1
ENSP00000341844,PARD3
ENSP00000341885,RPS2
ENSP00000342092,PAX3
ENSP00000342408,CSDE1
ENSP00000342492,PARVB
ENSP00000342493,RMDN3
ENSP00000342698,MCOLN3
ENSP00000342778,PPM1G
ENSP00000342800,PKP2
ENSP00000342895,NDUFV3
ENSP00000342962,SERINC1
ENSP00000343002,B3GLCT
ENSP00000343054,RBM5
ENSP00000343144,PARD6G
ENSP00000343206,SYN1
ENSP00000343298,LRRC41
ENSP00000343446,MASTL
ENSP00000343535,USP7
ENSP00000343547,TPD52L2
ENSP00000343635,MEAK7
ENSP00000343671,RPGR
ENSP00000343690,DPYSL3
ENSP00000343809,BSG
ENSP00000343885,PPA2
ENSP00000343959,GAB2
ENSP00000344055,AP3D1
ENSP00000344149,SRSF10
ENSP00000344314,OFD1
ENSP00000344383,TSC2
ENSP00000344488,JPH1
ENSP00000344503,TMEM201
ENSP00000344666,NF2
ENSP00000344672,NHSL1
ENSP00000344950,LARP7
ENSP00000344955,KAT5
ENSP00000345308,UBAP2L
ENSP00000345359,PODXL2
ENSP00000345456,PARN
ENSP00000345492,SH2B3
ENSP00000345498,AMPD2
ENSP00000345680,DNM1
ENSP00000345739,DNMT1
ENSP00000345752,MTMR2
ENSP00000345793,ZC3H7B
ENSP00000345848,ANP32B
ENSP00000345895,NUP50
ENSP00000346037,RPLP1
ENSP00000346050,RPS3A
ENSP00000346111,NSD1
ENSP00000346120,DDX21
ENSP00000346196,NDUFV3
ENSP00000346217,SMARCAD1
ENSP00000346236,DDX46
ENSP00000346349,LRRFIP2
ENSP00000346564,TP53I11
ENSP00000346566,CKAP5
ENSP00000346726,HNRNPH3
ENSP00000346935,AXIN1
ENSP00000347005,LUC7L2
ENSP00000347184,HTT
ENSP00000347224,GPBP1L1
ENSP00000347375,TBC1D9B
ENSP00000347427,MINK1
ENSP00000347464,GIT2
ENSP00000347532,SHTN1
ENSP00000347592,SAP30BP
ENSP00000347662,RIC8B
ENSP00000347683,PLEKHA4
ENSP00000347839,RAB11FIP2
ENSP00000347845,TASOR
ENSP00000347907,FNBP1
ENSP00000347909,STRN3
ENSP00000347931,PCNX3
ENSP00000347959,THOC2
ENSP00000348089,ERCC6
ENSP00000348162,ZNF507
ENSP00000348270,FRMD8
ENSP00000348290,MAPK8IP3
ENSP00000348359,PHLDB1
ENSP00000348489,FBRS
ENSP00000348498,NF1
ENSP00000348523,CDCA7L
ENSP00000348565,UBA5
ENSP00000348596,SDAD1
ENSP00000348693,MYO5A
ENSP00000348696,PAK1
ENSP00000348886,STOML2
ENSP00000348933,CCDC25
ENSP00000348965,DYNC1H1
ENSP00000348984,SON
ENSP00000349049,KDM1A
ENSP00000349056,ARHGEF12
ENSP00000349124,PPP4R2
ENSP00000349205,PIK3R4
ENSP00000349211,PCYT1B
ENSP00000349305,GOLGA4
ENSP00000349458,CILK1
ENSP00000349541,CAVIN1
ENSP00000349545,OSBPL1A
ENSP00000349636,SPAG9
ENSP00000349685,VPS13B
ENSP00000349748,SFPQ
ENSP00000349877,ATP13A1
ENSP00000349959,RICTOR
ENSP00000349961,SMC4
ENSP00000350170,FXR1
ENSP00000350187,WDR7
ENSP00000350401,DDHD1
ENSP00000350518,G3BP2
ENSP00000350698,DDX47
ENSP00000350934,RABEP2
ENSP00000350974,PPP1CA
ENSP00000351022,TPM1
ENSP00000351058,ARHGAP19
ENSP00000351094,MYOF
ENSP00000351136,HNRNPLL
ENSP00000351141,WTAP
ENSP00000351175,MAX
ENSP00000351209,EPHA2
ENSP00000351258,DMAC2L
ENSP00000351352,SIPA1L1
ENSP00000351413,ADGRE5
ENSP00000351416,ANKRD17
ENSP00000351490,MAX
ENSP00000351524,HELZ
ENSP00000351555,BAZ1A
ENSP00000351614,SYN3
ENSP00000351629,CDK11A
ENSP00000351664,MICAL1
ENSP00000351684,CAMSAP2
ENSP00000351740,FAM114A1
ENSP00000351777,VCP
ENSP00000351811,EDC4
ENSP00000351851,NUMA1
ENSP00000352138,KIRREL1
ENSP00000352185,PHF2
ENSP00000352232,SH2B1
ENSP00000352264,CD2AP
ENSP00000352308,DDX42
ENSP00000352354,EHD1
ENSP00000352400,NUP214
ENSP00000352438,PCBP2
ENSP00000352513,MPZL1
ENSP00000352536,GTF3C2
ENSP00000352572,PCNT
ENSP00000352703,NDRG3
ENSP00000353114,AHNAK2
ENSP00000353124,ARRB1
ENSP00000353152,PDE4D
ENSP00000353246,MAK16
ENSP00000353253,PPIP5K1
ENSP00000353286,ADD3
ENSP00000353402,AFAP1
ENSP00000353408,MSN
ENSP00000353463,GATAD2A
ENSP00000353561,TRIM9
ENSP00000353587,SRGAP3
ENSP00000353590,MYH10
ENSP00000353660,PEA15
ENSP00000353793,WDHD1
ENSP00000353804,ACSS2
ENSP00000353817,URI1
ENSP00000354021,HNRNPA2B1
ENSP00000354040,GTPBP4
ENSP00000354085,ANKHD1
ENSP00000354091,GNL3L
ENSP00000354111,DNAJC5
ENSP00000354201,UBE2Z
ENSP00000354322,GON4L
ENSP00000354339,WDR47
ENSP00000354347,GFPT1
ENSP00000354437,RBM39
ENSP00000354449,FOXJ3
ENSP00000354451,IQGAP3
ENSP00000354485,MAP3K3
ENSP00000354486,GOLGA4
ENSP00000354492,FOXM1
ENSP00000354518,ZNF830
ENSP00000354522,TOP1
ENSP00000354528,RBPJ
ENSP00000354558,MTOR
ENSP00000354561,ITSN2
ENSP00000354591,SERBP1
ENSP00000354616,LDB1
ENSP00000354622,RUNDC1
ENSP00000354623,WHRN
ENSP00000354660,MAGEC2
ENSP00000354671,MAST2
ENSP00000354720,SMC3
ENSP00000354739,RPL12
ENSP00000354850,OGA
ENSP00000354957,SMC5
ENSP00000354964,ZNF318
ENSP00000355013,CTR9
ENSP00000355045,TOGARAM1
ENSP00000355090,ARHGAP11A
ENSP00000355133,NOS1AP
ENSP00000355210,TMEM184B
ENSP00000355237,CDC42BPB
ENSP00000355284,PJA2
ENSP00000355306,C1orf174
ENSP00000355317,WDTC1
ENSP00000355388,MPHOSPH8
ENSP00000355497,AKT3
ENSP00000355500,CEP170
ENSP00000355511,CHML
ENSP00000355566,TOMM20
ENSP00000355582,MAP3K21
ENSP00000355589,SIPA1L2
ENSP00000355597,DISC1
ENSP00000355599,TSNAX
ENSP00000355660,TRIM11
ENSP00000355743,PHF10
ENSP00000355759,PARP1
ENSP00000355777,ACBD3
ENSP00000355827,FBXO28
ENSP00000355884,MARK1
ENSP00000355890,EPRS1
ENSP00000355899,RRP15
ENSP00000355902,GPATCH2
ENSP00000355923,PTPN14
ENSP00000355968,SLC30A1
ENSP00000355972,RCOR3
ENSP00000356057,TMEM181
ENSP00000356110,NUCKS1
ENSP00000356172,SOX13
ENSP00000356224,SYNE1
ENSP00000356282,LAD1
ENSP00000356319,KIF14
ENSP00000356379,ASPM
ENSP00000356381,KATNA1
ENSP00000356436,PLA2G4A
ENSP00000356437,SASH1
ENSP00000356445,STXBP5
ENSP00000356475,SHPRH
ENSP00000356481,NIBAN1
ENSP00000356548,LTV1
ENSP00000356556,PHACTR2
ENSP00000356561,XPR1
ENSP00000356576,HIVEP2
ENSP00000356579,CEP350
ENSP00000356606,RALGPS2
ENSP00000356630,HECA
ENSP00000356667,RC3H1
ENSP00000356705,DNM3
ENSP00000356737,GORAB
ENSP00000356741,KIFAP3
ENSP00000356796,HBS1L
ENSP00000356853,UCK2
ENSP00000356914,STX7
ENSP00000357051,PEX19
ENSP00000357077,TAGLN2
ENSP00000357110,EPB41L2
ENSP00000357131,ARHGAP18
ENSP00000357175,ETV3
ENSP00000357283,LMNA
ENSP00000357284,LMNA
ENSP00000357304,KHDC4
ENSP00000357417,FLAD1
ENSP00000357435,SHC1
ENSP00000357442,PYGO2
ENSP00000357450,PBXIP1
ENSP00000357456,ADAR
ENSP00000357517,TPM3
ENSP00000357564,RAB13
ENSP00000357622,CRTC2
ENSP00000357635,DENND4B
ENSP00000357642,MKI67
ENSP00000357643,MKI67
ENSP00000357656,FYN
ENSP00000357674,SNAPIN
ENSP00000357695,S100A16
ENSP00000357789,FLG
ENSP00000357856,POGZ
ENSP00000357868,PI4KB
ENSP00000357887,VPS72
ENSP00000357901,SCNM1
ENSP00000357928,CDC40
ENSP00000357965,SETDB1
ENSP00000357985,PLEKHA1
ENSP00000358019,NSMCE4A
ENSP00000358022,MCL1
ENSP00000358073,MCMBP
ENSP00000358121,HACE1
ENSP00000358133,GRIK2
ENSP00000358140,EIF3A
ENSP00000358159,ASCC3
ENSP00000358257,ABLIM1
ENSP00000358333,MAP3K7
ENSP00000358478,TTF2
ENSP00000358523,VANGL1
ENSP00000358532,RBM20
ENSP00000358556,TRIM33
ENSP00000358616,SMNDC1
ENSP00000358711,KCND3
ENSP00000358716,DDX20
ENSP00000358789,SH3PXD2A
ENSP00000358810,STRIP1
ENSP00000358812,PDCD11
ENSP00000358886,ATXN7L2
ENSP00000358905,WBP1L
ENSP00000358918,SUFU
ENSP00000358983,NFKB2
ENSP00000359000,GBF1
ENSP00000359027,SENP6
ENSP00000359042,PRPF38B
ENSP00000359160,TRMT13
ENSP00000359243,LZTS2
ENSP00000359264,BCAR3
ENSP00000359275,FNBP1L
ENSP00000359295,DR1
ENSP00000359306,ARFGAP1
ENSP00000359364,YTHDF1
ENSP00000359469,ZNF644
ENSP00000359507,CUTC
ENSP00000359518,MRGBP
ENSP00000359532,NTSR1
ENSP00000359552,PKN2
ENSP00000359645,RBMX
ENSP00000359656,ARHGEF6
ENSP00000359665,PI4K2A
ENSP00000359697,MAP7D3
ENSP00000359727,BAG2
ENSP00000359804,FUBP1
ENSP00000359826,PABIR2
ENSP00000359837,ZZZ3
ENSP00000359956,ELOVL5
ENSP00000359987,SRSF11
ENSP00000359989,SRSF11
ENSP00000359991,PGAM1
ENSP00000360021,GNG12
ENSP00000360029,SERBP1
ENSP00000360031,RRP12
ENSP00000360035,PPP1R3D
ENSP00000360108,DNAJC6
ENSP00000360125,PGM1
ENSP00000360129,EFCAB7
ENSP00000360164,SMARCA1
ENSP00000360188,USP1
ENSP00000360229,NFIA
ENSP00000360266,JUN
ENSP00000360296,PLPP3
ENSP00000360329,TTC4
ENSP00000360373,CUL4B
ENSP00000360464,NKAP
ENSP00000360473,PFDN4
ENSP00000360488,FRA10AC1
ENSP00000360497,RNF113A
ENSP00000360526,ZNF217
ENSP00000360532,CDC5L
ENSP00000360599,TUT4
ENSP00000360623,ORC1
ENSP00000360644,DPM1
ENSP00000360666,ABCA2
ENSP00000360676,KTI12
ENSP00000360682,PAXX
ENSP00000360683,PTPN1
ENSP00000360709,HSP90AB1
ENSP00000360777,INPP5E
ENSP00000360790,ENTR1
ENSP00000360798,EPS15
ENSP00000360821,UBAC1
ENSP00000360869,IFIT1
ENSP00000360890,WDR44
ENSP00000360893,STAU1
ENSP00000360985,ARFGEF2
ENSP00000360994,STAMBPL1
ENSP00000361009,PREX1
ENSP00000361065,NCOA3
ENSP00000361162,TOE1
ENSP00000361219,GTF3C4
ENSP00000361244,MAD2L1BP
ENSP00000361298,KIF2C
ENSP00000361411,ZCCHC24
ENSP00000361423,ABL1
ENSP00000361433,EXOSC2
ENSP00000361486,PCIF1
ENSP00000361506,USP20
ENSP00000361524,C9orf78
ENSP00000361535,MED8
ENSP00000361540,CDC20
ENSP00000361586,ZNF691
ENSP00000361626,YBX1
ENSP00000361658,NUP188
ENSP00000361682,LRRC8A
ENSP00000361711,TCEAL3
ENSP00000361731,TBC1D13
ENSP00000361777,SET
ENSP00000361793,SMAP2
ENSP00000361816,SPTAN1
ENSP00000361841,VCL
ENSP00000361857,RLF
ENSP00000361892,STK4
ENSP00000361900,TOMM34
ENSP00000361905,TRIT1
ENSP00000362013,TRERF1
ENSP00000362017,CENPI
ENSP00000362061,OSER1
ENSP00000362063,CSTF2
ENSP00000362072,SYTL4
ENSP00000362075,AKIRIN1
ENSP00000362085,BBLN
ENSP00000362092,RRAGC
ENSP00000362110,SF3A3
ENSP00000362127,MTF1
ENSP00000362135,YRDC
ENSP00000362146,CDCA8
ENSP00000362243,MAP7D1
ENSP00000362298,SGPL1
ENSP00000362330,CHD6
ENSP00000362361,CDK9
ENSP00000362392,CFAP157
ENSP00000362396,STXBP1
ENSP00000362411,NIBAN2
ENSP00000362532,RPRD1B
ENSP00000362579,NHSL3
ENSP00000362638,MARCKSL1
ENSP00000362649,HDAC1
ENSP00000362687,DDX50
ENSP00000362704,CCDC28B
ENSP00000362712,TXLNA
ENSP00000362727,DENND1A
ENSP00000362728,KPNA6
ENSP00000362748,TET1
ENSP00000362751,RABGAP1
ENSP00000362768,RBL1
ENSP00000362770,DAW1
ENSP00000362774,RC3H2
ENSP00000362775,AGFG1
ENSP00000362820,SRSF3
ENSP00000362895,TAF1
ENSP00000362900,SRSF4
ENSP00000362930,TAF12
ENSP00000362945,PHACTR4
ENSP00000362946,RAB14
ENSP00000362963,NONO
ENSP00000363021,RPA2
ENSP00000363054,STX12
ENSP00000363110,ZMYM3
ENSP00000363123,AHDC1
ENSP00000363124,PHF20
ENSP00000363133,ILRUN
ENSP00000363152,MAP3K6
ENSP00000363215,MED12
ENSP00000363228,RBM12
ENSP00000363281,RPS6KA1
ENSP00000363322,CDC26
ENSP00000363349,SNX30
ENSP00000363384,ZNF593
ENSP00000363426,MTFR1L
ENSP00000363463,MACO1
ENSP00000363510,SRRM1
ENSP00000363524,KIF4A
ENSP00000363574,EIF6
ENSP00000363642,BMS1
ENSP00000363714,TMEM245
ENSP00000363836,CCNY
ENSP00000363866,CREM
ENSP00000363929,NCOA6
ENSP00000363940,LAS1L
ENSP00000363995,ZNF189
ENSP00000363998,ITCH
ENSP00000364104,PAGE2
ENSP00000364119,EIF2S2
ENSP00000364251,EPC1
ENSP00000364255,RALY
ENSP00000364261,OTUD3
ENSP00000364277,FGD1
ENSP00000364289,NCBP1
ENSP00000364336,TBXA2R
ENSP00000364394,ARHGAP12
ENSP00000364400,HABP4
ENSP00000364449,SIK3
ENSP00000364519,TFDP1
ENSP00000364547,SVIL
ENSP00000364549,SVIL
ENSP00000364589,CUL4A
ENSP00000364662,BICD2
ENSP00000364691,CROCC
ENSP00000364721,MAPRE1
ENSP00000364895,ZBTB17
ENSP00000365016,IRS2
ENSP00000365070,ACBD5
ENSP00000365336,ABI1
ENSP00000365458,HNRNPK
ENSP00000365621,FRMD3
ENSP00000365682,TLE1
ENSP00000365830,SOWAHC
ENSP00000366050,C9orf40
ENSP00000366070,RILPL1
ENSP00000366109,ANXA1
ENSP00000366161,ZFAND5
ENSP00000366179,DNAJC1
ENSP00000366237,DFFA
ENSP00000366243,CEMIP2
ENSP00000366244,ARAF
ENSP00000366260,CNNM3
ENSP00000366297,KIF1B
ENSP00000366330,KLF9
ENSP00000366567,MAP4K2
ENSP00000366603,TGOLN2
ENSP00000366672,DTD1
ENSP00000366679,H2AC12
ENSP00000366694,KCTD12
ENSP00000366702,ERRFI1
ENSP00000366852,TBC1D4
ENSP00000366897,KLF12
ENSP00000366936,SHB
ENSP00000366939,MGME1
ENSP00000366964,DMWD
ENSP00000366998,SNX5
ENSP00000367028,TCOF1
ENSP00000367126,TDRD3
ENSP00000367203,KDM6A
ENSP00000367208,SUGT1
ENSP00000367265,CKAP4
ENSP00000367284,FUNDC1
ENSP00000367292,FLRT3
ENSP00000367356,FAM171A1
ENSP00000367498,LRRC47
ENSP00000367558,USP9X
ENSP00000367562,TMX2
ENSP00000367581,ANKRD11
ENSP00000367608,CA9
ENSP00000367716,BCOR
ENSP00000367721,NUP160
ENSP00000367787,LIG3
ENSP00000367797,SKI
ENSP00000367984,MIB2
ENSP00000368017,ZFC3H1
ENSP00000368020,KIF3A
ENSP00000368040,OPTN
ENSP00000368091,KIF13A
ENSP00000368129,API5
ENSP00000368237,ATL2
ENSP00000368349,POLA1
ENSP00000368356,PRKD3
ENSP00000368377,FAM219A
ENSP00000368389,NGRN
ENSP00000368390,TPD52
ENSP00000368436,LRIG3
ENSP00000368459,NUFIP1
ENSP00000368484,UBAP1
ENSP00000368550,MAP9
ENSP00000368565,DNAJC2
ENSP00000368578,TMEM230
ENSP00000368637,SLC23A2
ENSP00000368666,PTCHD1
ENSP00000368686,E2F4
ENSP00000368698,HIVEP1
ENSP00000368818,TOM1L2
ENSP00000368831,SNX2
ENSP00000368884,RPS6KA3
ENSP00000368918,CDC25B
ENSP00000369115,PFKFB3
ENSP00000369127,DNAJA1
ENSP00000369162,RIOK1
ENSP00000369181,NRBP1
ENSP00000369187,TOPORS
ENSP00000369217,ARIH1
ENSP00000369274,PHKA2
ENSP00000369315,MYH10
ENSP00000369319,UACA
ENSP00000369431,CAAP1
ENSP00000369500,SYAP1
ENSP00000369538,GDI2
ENSP00000369594,FUS
ENSP00000369757,RPS6
ENSP00000369768,HSPH1
ENSP00000369777,ZNF768
ENSP00000369823,RGL3
ENSP00000369871,HAUS6
ENSP00000369887,SLTM
ENSP00000369897,CARS1
ENSP00000369915,NAP1L4
ENSP00000370015,CNTLN
ENSP00000370023,HADHA
ENSP00000370069,MSL3
ENSP00000370114,PSIP1
ENSP00000370125,HMGN1
ENSP00000370132,DNMT3A
ENSP00000370148,WRNIP1
ENSP00000370167,YAF2
ENSP00000370178,BRWD1
ENSP00000370196,SBF1
ENSP00000370299,SHROOM2
ENSP00000370346,NFIB
ENSP00000370384,TSSC4
ENSP00000370395,SGTB
ENSP00000370517,PFKP
ENSP00000370574,RPL21
ENSP00000370589,NOP56
ENSP00000370694,IL6ST
ENSP00000370730,WDR37
ENSP00000370745,DDX1
ENSP00000370870,BRD10
ENSP00000370981,LZTS1
ENSP00000371051,ZZEF1
ENSP00000371085,BAIAP2L2
ENSP00000371133,HMG20A
ENSP00000371172,LIMCH1
ENSP00000371184,HPCAL1
ENSP00000371221,MTMR6
ENSP00000371267,YWHAQ
ENSP00000371307,PLPP6
ENSP00000371308,CPAP
ENSP00000371393,PGM2
ENSP00000371474,NIN
ENSP00000371502,CREBBP
ENSP00000371544,TRAPPC12
ENSP00000371638,SMARCA2
ENSP00000371686,DMRT2
ENSP00000371730,KANK1
ENSP00000371798,FSCN1
ENSP00000371917,CBARP
ENSP00000371931,SYNJ1
ENSP00000372193,CLCN7
ENSP00000372206,EEF1AKMT1
ENSP00000372238,RGS12
ENSP00000372327,ZMYM2
ENSP00000372689,STAG1
ENSP00000372924,RALBP1
ENSP00000373364,GOLM1
ENSP00000373390,BLTP1
ENSP00000373450,SPAG1
ENSP00000373489,KRT18
ENSP00000373620,HSPD1
ENSP00000373684,STK38L
ENSP00000373696,TRIP12
ENSP00000373734,DENND5B
ENSP00000373772,RNF20
ENSP00000373876,PDPK1
ENSP00000373918,GARS1
ENSP00000373930,CCAR2
ENSP00000374280,RTF1
ENSP00000374348,RALGAPA1
ENSP00000374407,PKP4
ENSP00000374455,SQSTM1
ENSP00000374484,TMEM87A
ENSP00000374529,CCNK
ENSP00000375485,KIAA0930
ENSP00000375710,AKT1S1
ENSP00000375750,TP53BP2
ENSP00000375851,IFT54
ENSP00000375872,ATG16L1
ENSP00000375889,C19orf47
ENSP00000375902,SP110
ENSP00000375918,ACSL3
ENSP00000375960,AFDN
ENSP00000375978,XRCC5
ENSP00000376045,CCNYL1
ENSP00000376056,EEF1B2
ENSP00000376071,FAM117B
ENSP00000376077,SUMO1
ENSP00000376146,CSNK1D
ENSP00000376159,BCLAF1
ENSP00000376204,ASH1L
ENSP00000376269,NCOA7
ENSP00000376290,TRA2A
ENSP00000376306,CIT
ENSP00000376330,WIPF1
ENSP00000376406,INF2
ENSP00000376502,RFX5
ENSP00000376609,GRK5
ENSP00000376707,XRN1
ENSP00000376716,PAPOLA
ENSP00000376744,RPS6KB1
ENSP00000376763,CLTC
ENSP00000376782,SPIRE2
ENSP00000376816,PDCD4
ENSP00000376892,NME1
ENSP00000376940,OSBPL8
ENSP00000376945,FBXW9
ENSP00000376989,ZNF800
ENSP00000377018,NCK2
ENSP00000377048,PHF3
ENSP00000377068,MDM2
ENSP00000377088,BTRC
ENSP00000377091,REV1
ENSP00000377150,ZC3H14
ENSP00000377159,PHLPP2
ENSP00000377326,KIAA1191
ENSP00000377408,NPM1
ENSP00000377498,MAGEA4
ENSP00000377504,ZNF414
ENSP00000377612,ESYT1
ENSP00000377681,G3BP1
ENSP00000377700,TBC1D23
ENSP00000377719,PSEN1
ENSP00000377794,STARD3
ENSP00000377807,PABIR1
ENSP00000377832,FBXL20
ENSP00000377895,FBXO38
ENSP00000377914,CIAPIN1
ENSP00000377934,KIF7
ENSP00000377943,TCERG1
ENSP00000377944,UTP14A
ENSP00000377969,GTF2F1
ENSP00000378032,CAMK2D
ENSP00000378040,BAD
ENSP00000378093,LRRC8D
ENSP00000378180,BRD7
ENSP00000378254,EML3
ENSP00000378302,NR4A1
ENSP00000378305,PPP3CB
ENSP00000378332,TGFB1I1
ENSP00000378350,CDC23
ENSP00000378400,LIMA1
ENSP00000378403,SIN3A
ENSP00000378409,VSIR
ENSP00000378479,SOS1
ENSP00000378487,VDAC1
ENSP00000378506,MSANTD3
ENSP00000378512,LPXN
ENSP00000378651,GPAT3
ENSP00000378699,CDK1
ENSP00000378753,MADD
ENSP00000378851,MAPK1IP1L
ENSP00000378886,TWF1
ENSP00000378990,EPN2
ENSP00000378993,FERMT2
ENSP00000379051,PURB
ENSP00000379107,BICD1
ENSP00000379258,GLI3
ENSP00000379344,XRCC4
ENSP00000379349,ADNP
ENSP00000379392,THUMPD1
ENSP00000379441,JMY
ENSP00000379457,FAF1
ENSP00000379494,PDE1C
ENSP00000379506,RPL14
ENSP00000379515,CCP110
ENSP00000379526,MAGED2
ENSP00000379629,CDKN1B
ENSP00000379643,NDE1
ENSP00000379658,ETV6
ENSP00000379670,CBX3
ENSP00000379709,ARHGAP21
ENSP00000379804,OSBPL10
ENSP00000379881,PDE7A
ENSP00000379888,RPS8
ENSP00000379902,TMEM106B
ENSP00000379946,BICRA
ENSP00000379998,ARFIP2
ENSP00000380070,GAPDH
ENSP00000380093,SOX10
ENSP00000380157,MOCS2
ENSP00000380159,FLYWCH2
ENSP00000380180,H2BC4
ENSP00000380206,EIF3B
ENSP00000380235,RALGAPB
ENSP00000380288,CHLSN
ENSP00000380317,PRKAA1
ENSP00000380340,NGDN
ENSP00000380413,AGAP3
ENSP00000380446,PABPN1
ENSP00000380460,PLAA
ENSP00000380495,DDX51
ENSP00000380659,EIF4ENIF1
ENSP00000380718,CDYL
ENSP00000380749,MEIS2
ENSP00000380763,MORC2
ENSP00000380794,CHMP7
ENSP00000380820,MCM3AP
ENSP00000380837,LSS
ENSP00000380888,MED13
ENSP00000380921,SH3KBP1
ENSP00000380945,NDRG2
ENSP00000381003,TTC28
ENSP00000381064,INTS10
ENSP00000381066,MAP2K7
ENSP00000381170,NHS
ENSP00000381187,INTS6
ENSP00000381216,KHSRP
ENSP00000381231,CBS
ENSP00000381267,ADAM22
ENSP00000381362,FNDC3A
ENSP00000381398,GEMIN8
ENSP00000381490,LARP4
ENSP00000381523,ZBTB21
ENSP00000381567,TMF1
ENSP00000381577,USP34
ENSP00000381657,DOT1L
ENSP00000381698,SHARPIN
ENSP00000381803,MAPK1
ENSP00000381859,TOMM6
ENSP00000381920,NAA15
ENSP00000381929,DYRK1A
ENSP00000381931,RCC1
ENSP00000381942,CRK
ENSP00000381952,KSR1
ENSP00000381993,SEPTIN7
ENSP00000382051,SEC24B
ENSP00000382071,HLCS
ENSP00000382091,ALKBH5
ENSP00000382165,GAREM1
ENSP00000382239,RBM12B
ENSP00000382352,ZNF521
ENSP00000382423,MAP3K1
ENSP00000382522,PAN3
ENSP00000382593,SETD5
ENSP00000382604,POLR1D
ENSP00000382627,RBBP8
ENSP00000382697,ROCK1
ENSP00000382806,RBM23
ENSP00000382814,FAM234A
ENSP00000382840,DDX3X
ENSP00000382857,USP16
ENSP00000382880,VAPA
ENSP00000382897,ANKRD12
ENSP00000383003,FKBP1A
ENSP00000383010,DLGAP1
ENSP00000383059,ARGLU1
ENSP00000383063,NRIP1
ENSP00000383086,CSNK2A1
ENSP00000383274,EIF4G3
ENSP00000383333,MORC3
ENSP00000383401,PPP4R1
ENSP00000383611,CCNL2
ENSP00000383700,RERE
ENSP00000383820,MIER1
ENSP00000383840,MMACHC
ENSP00000383996,CERT1
ENSP00000384026,HMGA2
ENSP00000384074,CSNK1E
ENSP00000384088,MIOS
ENSP00000384160,RBM33
ENSP00000384211,PSME4
ENSP00000384257,XRCC6
ENSP00000384259,ATG4B
ENSP00000384302,WDR43
ENSP00000384505,SUPT5H
ENSP00000384510,CAD
ENSP00000384602,LIMK2
ENSP00000384678,HMGB1
ENSP00000384720,EVL
ENSP00000384726,DGCR8
ENSP00000384816,CBLB
ENSP00000384823,FBXO11
ENSP00000384925,RANBP1
ENSP00000384945,WIPI2
ENSP00000384955,URGCP
ENSP00000385015,TTYH3
ENSP00000385025,SMCR8
ENSP00000385034,CDK14
ENSP00000385152,KIAA1671
ENSP00000385172,SEPTIN2
ENSP00000385191,MIEF1
ENSP00000385228,CHTOP
ENSP00000385278,YPEL5
ENSP00000385286,RPS7
ENSP00000385317,BBX
ENSP00000385323,BCAS3
ENSP00000385362,VAV2
ENSP00000385510,GPSM2
ENSP00000385536,DDX17
ENSP00000385604,CTNNB1
ENSP00000385610,MEX3C
ENSP00000385622,KIF2A
ENSP00000385634,TBC1D22A
ENSP00000385657,PPP1R7
ENSP00000385659,RPS27A
ENSP00000385693,HMGA1
ENSP00000385715,MAPRE3
ENSP00000385722,INTS1
ENSP00000385740,SUN2
ENSP00000385748,GRB10
ENSP00000385787,POP1
ENSP00000385795,PHF14
ENSP00000385807,TRMT2A
ENSP00000385824,FOXO3
ENSP00000385839,R3HDM2
ENSP00000385861,TFIP11
