file_id,file_name,file_size_mb,case_submitter_id,case_id
2f50c3b2-6e31-4fa8-86b8-44e37496d3a4,48155bad-7de9-401d-a495-972cbbb8f276.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-ER-A19B,f7368803-c545-4407-9a14-2220560a8f80
ca2eed30-6062-4beb-b9a8-f7034812857a,1fd89d3a-5991-4bfb-b27f-66b5f2a289d8.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-ER-A2NC,b9607824-a8d3-4915-ab73-962cdcfd8dc3
32c1be5e-e833-43f5-a515-75b6e54dbefb,22e9b9d1-ac71-43f5-8606-f9f53c6ecc08.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-ER-A2NB,bda2f09a-82c4-40ec-90e8-0bf63916a5c7
4da1dea6-f059-49b0-b989-4e0ebd7b18fe,c55bb20b-c929-42e2-be7f-8b1da7bee953.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-ER-A2NH,6c353b35-4f6d-4a36-bc8b-8a21dd0beecb
98b164c8-e171-4344-9822-04088aed7705,fe4a0710-a6db-4735-9d1a-113df310def6.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-FS-A4F0,4eb16fb1-0fcf-4c47-80fa-b7acc3a59a12
7255f9c4-4094-4537-bb21-dbb1949ae144,311f1988-e21e-4130-b944-2a34d7d46d28.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-FR-A44A,18e7b73c-4520-42cd-ac9b-23bac1c8ecc6
b00650c2-a3dc-49ac-9d84-785186aa8c4d,b4fd9abd-cb2a-4d1b-abb2-8e2796d009cc.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-HR-A2OH,6668acfe-1594-42c0-b839-8a592702675f
a92a02db-9c43-46c6-8aab-5b89852df242,39927c92-75d7-424c-9bcd-63def0075a1d.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-D3-A2JF,c58638ed-a38c-4494-a41e-6ee5283a7a59
4ac2bcec-d4e5-4491-8042-4cbd5327a1da,d9eacc36-0ae3-41bd-aef6-503f91cb25aa.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-FW-A3R5,e5bc45ce-8a14-40b5-b9b5-ce45609fef3a
bd32096f-1c2a-44e5-b42d-27c66883665d,737bc806-018c-401d-b3ef-ffd3c896c01c.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-D3-A3CC,2d36cea4-73e9-493b-8433-0c2b911c0521
1930202c-c766-4106-b6c8-36b82ca507db,6b907244-c173-4e29-a163-24258a430477.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-EB-A5VV,080bb1f8-f20c-4daa-9de3-b5782b69583c
fc2da737-fbd3-49b5-9cb6-077044119d0c,df16e2f1-59a7-444d-9eab-c8d3b23b080d.rna_seq.augmented_star_gene_counts.tsv,4.3,TCGA-DA-A1HY,40e17bf8-6c19-4e5e-b60d-ad54f504a970
023a3ce5-f2e6-46cc-a6a9-011145a1e808,9a38d0dc-6b2c-439d-b10e-efd0f1cba209.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-ER-A19T,b85b14d7-3b5a-4800-af12-622ec03b9fe5
0aaec814-e30d-489b-928d-62776b8028cd,dd28c353-13f2-4e6a-a2d7-df94352e043f.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-EB-A24C,2f1bbe96-49d9-417b-bc9c-a09992489340
6544e7d7-58c9-4f4c-ab9f-5b1266d35c62,7f51ff28-397d-466f-82b0-25e9c9182ea7.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-ER-A19O,69c0ef46-3117-46f3-b36e-581eb03eb829
b4409e3c-d7ca-4d5b-ad02-a710268c2647,393a470f-8641-493a-98fe-e0ec38c8d7f9.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-EB-A3XF,555bbd13-8ad7-43b3-9087-001db30089f1
d03c77e0-8b7b-4be7-a258-bad868690e3b,b6c4399b-a4b6-4fcd-815c-554dc1a79ff7.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-EE-A2GN,be73fde2-d843-426b-9306-a02d3f2a754b
3826d622-5408-4faf-a4dc-dc8c0b4d09af,b0363d99-5ff4-42cd-849d-79dfad0eaf49.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-EE-A20I,a67fd5bb-b6b6-4e00-9acd-68d0a59b5e55
d91dda83-58a8-4a35-afdc-c59c3c146827,d220785b-6de0-4b89-a402-3d2cdcda4b2f.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-D3-A51T,791d3824-890f-43f2-b545-c7266506d716
78101e78-65fb-4d52-bac8-20df20edb69c,84f39507-9883-4bab-98f9-8bd72d2aee7b.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-FW-A3TU,511aa521-f38d-4ab7-9611-d8c1fec4c22b
924bc59b-0400-400a-bdfc-e163ffc4750b,3d1f44d8-6084-47cb-b57b-099f2cd1fa0e.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-BF-AAP8,97991c80-c4aa-4ede-9fd9-bbaff9c4a472
02204553-ce60-4bd3-b32c-d9fef434c084,4e64826b-fffb-4430-bc34-ea6086e89a0a.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-D3-A8GR,fe1ec057-f8d0-4155-925a-5b5ea0c11cc4
0e875cce-117a-4637-b31d-a4eabfff8deb,97431f78-eea7-4799-8493-0ea4164a432b.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-EB-A6L9,fb620e8b-4be7-4e53-af04-8e9c27b4dcf0
20b5fc73-c12f-465a-87d6-5a5e062d58f3,c59a00cb-985f-41b6-b66b-decefb8c9f66.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-D3-A3CF,132cdde9-70d8-4753-8e99-fc4ce3d371a4
e840cd4c-03c4-4f8a-934d-96b655973f71,37870efb-e4e9-4772-bdec-b9de38ce4aec.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-XV-AAZV,92116b0b-e614-4a27-a3c2-207e561c788b
756a8224-cb4d-42ca-b74e-d1ae6df37ffe,38e8a5f6-9edf-49bb-ab00-912a58fa363f.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-FR-A7U9,1fb5b4fd-8891-4a21-96b6-45d4b848cc66
481fa807-fe38-42ee-bd7b-617066f616d6,855f0a82-04de-485d-9613-5ccf08074069.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-GN-A4U5,c35d97f8-1b70-4fbd-a603-9230b3ba7952
80dde448-267a-474b-9704-d6f851fac063,e07c111b-da6e-4743-9351-77491153bec4.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-EE-A2GK,f18cfe4a-fffd-4e09-9eef-343ba9ffd0d1
83512d89-11ea-45ad-98ed-18e4617b47ec,4d36189e-fe88-4cfb-970b-a51b8e9e0783.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-EE-A3JB,6e1040d2-dee0-43c9-8462-fc0859d7d2af
6307d48e-e6c0-4d18-87b0-804fd4cc554c,5e2bb136-9a8b-4481-9394-d7eff1793f97.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-QB-AA9O,2bdb65a5-4b72-4379-822d-69cc41fd663f
99e8fcd5-1512-43a1-91da-8f95037b3ad0,84ade22f-c13a-4c0d-97d7-715c2af09ba1.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-FW-A3TV,04c3d01d-a949-4dc7-9829-a8c99180dba0
df4671bc-f386-4e21-a8d6-b624c71daf2f,e990acfa-7162-4c8a-9147-111104efd490.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-EE-A3AF,015ba831-106b-4b84-9e8c-243a9eeeebf6
986b25d7-ff20-4d82-a38b-1da8b1974841,88049520-2494-4f0e-bcbe-c7a53aab6aa6.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-D3-A2JO,04f7ecc8-4f6b-41ac-a984-9ea604698a21
616a1703-702d-4dde-a103-9bfa2a7eee96,3266aaf5-28ea-45af-9e1c-cb0d3ab3b807.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-YG-AA3N,1c052cde-7a70-410b-a273-dbe39dd968f4
1ab14eb9-17c4-4922-bc38-e0f3126c0dad,cafeba8a-de28-40f8-b19a-af0ee8705957.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-FS-A1ZA,177b515e-bcb9-4a08-9b38-3ccdec0e293f
06f35b28-be9e-4ee9-8eeb-3c107dec84d7,e2ea7b80-6949-457a-9d29-2452cd3b6ad8.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-D3-A1Q6,1e05da2e-7dd7-4c98-9e77-59514e5f2582
3494de61-2d94-4acf-8e54-705f811a764e,3e1c728a-cf38-4ca8-9d87-0bbf098567a6.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-FR-A8YD,2897a728-ec7b-4321-b0fe-3575b7c6ee39
293f11c8-1d40-4ff1-84be-ca82847e1c20,6a43f966-cb2b-47ee-b0f4-c269707daa88.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-GN-A266,3429967f-4f77-4894-bf27-c4a22698ca92
852435f1-d6c4-4efa-8c27-ab27245640df,ef86558c-8a25-4bde-b139-ecf98e04ef0e.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-EE-A184,3a8cfea5-1dcd-4dbb-bbd9-5bb602c54922
688a66a2-4c35-46c0-81c4-e3cfc762a4f8,6059e3d0-6430-4875-99df-9252a508974c.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-ER-A193,8ab09143-daf6-40a9-85d3-0fe9de7b3e06
caf4a07f-721c-42bd-8496-a9cc06f9200f,3cf35e3b-812f-4cc1-bd37-e78fd6af6dc4.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-ER-A42K,691a5156-281d-4fd6-b44a-299a3e8dc3e3
713980be-5929-4a1a-9a8a-ca0eba67fac5,14bc145a-8b15-42d2-bb12-d9a0f75a90f4.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-RP-A694,ce727e9e-325d-41d8-bfaf-0051418b9bef
e0855900-7f4b-4a49-997a-2bbd5bf4268f,350f38a2-e597-494a-a387-975814453726.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-EE-A17Y,e699a2a7-dbff-4122-8114-87d70a56f59f
7054573f-31e7-4718-bfdb-a674a1f53905,a8a19765-9554-4eba-876f-c7da2199cf20.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-EE-A20C,bc71a91d-8ad1-4bab-a4fa-89470aa4e4d0
7042afe8-04ac-42d2-87ee-1ba95cf67b8a,b1f01324-d0ca-4779-9ae0-5348e2613084.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-ER-A194,2bbf00f4-7798-4dad-9894-96202c9132be
27c45a4f-c722-4e5e-b5a1-ca4f915c756b,69d9a82b-5c37-45bd-a1cf-ffe1392e84fc.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-EB-A57M,05f4058d-3066-4d16-8320-cf92f122945f
c4d6825d-8b46-41c5-8902-7919da14ffb9,edef6762-dd96-4284-81e6-2e128af287fa.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-DA-A95V,d7ade261-b624-4e47-8a82-591bf1a8faa4
3fa8ca20-a82b-482a-bccf-5b7b38768b4c,176e93be-1ae5-43f2-a0b5-17f31695e679.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-D3-A2JE,2ec330f8-96e4-4270-aadc-563bb72f4b2c
00fb6c2d-3abc-4d05-8506-e2d951543346,4f0c3ed0-647a-422e-b771-f201f5d5d29e.rna_seq.augmented_star_gene_counts.tsv,4.2,TCGA-DA-A1I8,7b92fcd4-f9be-4b97-94a2-b2e8348aeaba
